Designator,Mid X,Mid Y,Layer,Rotation
R1,11.43,17.78,Bottom,0
R2,19.05,17.78,Bottom,0
R3,26.67,17.78,Bottom,0
R4,34.29,17.78,Bottom,0
R5,41.91,17.78,Bottom,0
R6,49.53,17.78,Bottom,0
R7,11.43,10.16,Bottom,0
R8,19.05,10.16,Bottom,0
R9,26.67,10.16,Bottom,0
R10,34.29,10.16,Bottom,0
R11,41.91,10.16,Bottom,0
R12,49.53,10.16,Bottom,0
R13,11.43,2.54,Bottom,0
R14,19.05,2.54,Bottom,0
R15,26.67,2.54,Bottom,0
R16,34.29,2.54,Bottom,0
R17,41.91,2.54,Bottom,0
R18,49.53,2.54,Bottom,0
J1,3.81,12.7,TOP,90
LED1,10.16,20.32,TOP,0
LED2,17.78,20.32,TOP,0
LED3,25.4,20.32,TOP,0
LED4,33.02,20.32,TOP,0
LED5,40.64,20.32,TOP,0
LED6,48.26,20.32,TOP,0
LED7,10.16,12.7,TOP,0
LED8,17.78,12.7,TOP,0
LED9,25.4,12.7,TOP,0
LED10,33.02,12.7,TOP,0
LED11,40.64,12.7,TOP,0
LED12,48.26,12.7,TOP,0
LED13,10.16,5.08,TOP,0
LED14,17.78,5.08,TOP,0
LED15,25.4,5.08,TOP,0
LED16,33.02,5.08,TOP,0
LED17,40.64,5.08,TOP,0
LED18,48.26,5.08,TOP,0
