Designator,value,comments,Mid X,Mid Y,Rotation,Layer
R1,100K,R0805,10.03,6.668,0,TOP
R3,100R,R0805,9.973,8.89,180,TOP
D1,1N4007_SMD,DIOM5027X262N,25.4,15.558,270,TOP
D3,1N4007_SMD,DIOM5027X262N,10.16,15.399,90,TOP
R2,330R,R0805,25.4,7.137,270,TOP
Q2,AOD4184A,AOD4185,17.71,14.473,90,TOP
J1,B2B-XH-A,B2BXHA,3.493,16.916,90,TOP
J4,B2B-XH-A,B2BXHA,31.551,17.016,270,TOP
J2,B3B-XH-A(LF)(SN),JST_B3B-XH-A(LF)(SN),31.568,7.323,90,TOP
J3,B3B-XH-A(LF)(SN),JST_B3B-XH-A(LF)(SN),3.387,7.313,270,TOP
Q1,PN2222ATF,KA431AZTA,18.65,3.71,0,TOP
